Bug Type,Count,Severity,Category,Description,Recommendation
EI_EXPOSE_REP,554,Medium,Code Quality,Getter returns reference to mutable field - caller can modify internal state,Low priority - QQQ fluent pattern; consider defensive copies for security-sensitive fields
CT_CONSTRUCTOR_THROW,52,Medium,Code Quality,Constructor throws exception leaving object partially initialized - vulnerable to finalizer attacks,Review - consider factory methods or two-phase initialization
SE_BAD_FIELD,45,Medium,Serialization,Serializable class has non-transient non-serializable field,Low priority - QQQ rarely serializes objects; mark fields transient if needed
REC_CATCH_EXCEPTION,36,Medium,Code Quality,Catching generic Exception instead of specific exception types,Yes - catch specific exceptions for better error handling
PATH_TRAVERSAL_IN,33,Medium,Security,File path constructed from user input - potential directory traversal attack,Review each case - validate/sanitize paths or use allowlists
ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD,23,High,Concurrency,Instance method writes to static field - potential race condition,Yes - use proper synchronization or redesign to avoid static mutation
DM_DEFAULT_ENCODING,22,Medium,Internationalization,Uses default platform encoding instead of explicit charset,Yes - specify StandardCharsets.UTF_8 explicitly
MS_EXPOSE_REP,20,Medium,Code Quality,Public static method returns reference to mutable static field,Review - return defensive copy or immutable wrapper
DLS_DEAD_LOCAL_STORE,17,Medium,Code Quality,Value assigned to local variable is never used,Yes - easy cleanup; remove dead assignments
WMI_WRONG_MAP_ITERATOR,14,Medium,Performance,Iterates over Map.keySet() then calls get() - inefficient,Yes - use Map.entrySet() for direct key-value access
SQL_INJECTION_JDBC,13,High,Security,SQL query constructed from non-constant string - potential SQL injection,Review - ensure parameterized queries are used; may be false positives
SING_SINGLETON_GETTER_NOT_SYNCHRONIZED,12,Medium,Concurrency,Singleton getter not synchronized - race condition in lazy init,Review - use enum singleton or synchronized initialization
VA_FORMAT_STRING_USES_NEWLINE,11,Medium,Portability,Format string uses \n instead of %n - not portable across platforms,Yes - replace \n with %n in format strings
RCN_REDUNDANT_NULLCHECK_OF_NONNULL_VALUE,7,Medium,Code Quality,Redundant null check on value that cannot be null,Yes - remove unnecessary null checks
MS_SHOULD_BE_FINAL,6,Medium,Code Quality,Static field should be declared final,Yes - add final modifier to static fields
UC_USELESS_OBJECT,5,Medium,Code Quality,Object created but never used,Yes - remove unused object creation
POTENTIAL_XML_INJECTION,4,Medium,Security,XML constructed from user input - potential XML injection,Review - validate/escape XML content or use safe APIs
PA_PUBLIC_PRIMITIVE_ATTRIBUTE,4,Medium,Encapsulation,Public primitive field should be private with accessor,Yes - encapsulate with getter/setter
NP_LOAD_OF_KNOWN_NULL_VALUE,4,Medium,Code Quality,Loading value that is known to be null,Review - likely logic error or dead code
NP_BOOLEAN_RETURN_NULL,4,Medium,Code Quality,Method returns null for Boolean return type - can cause NPE on unboxing,Yes - return Boolean.FALSE instead of null
LI_LAZY_INIT_UPDATE_STATIC,4,Medium,Concurrency,Lazy initialization of static field is not thread-safe,Yes - use proper synchronization or eager initialization
DE_MIGHT_IGNORE,4,Medium,Code Quality,Exception might be ignored silently,Yes - at minimum log the exception
RV_RETURN_VALUE_IGNORED_NO_SIDE_EFFECT,3,Medium,Code Quality,Return value of method without side effects is ignored,Review - likely missing assignment or unnecessary call
NS_NON_SHORT_CIRCUIT,3,Medium,Code Quality,Using non-short-circuit logic operator (& instead of &&),Review - may be intentional; usually should use short-circuit
MC_OVERRIDABLE_METHOD_CALL_IN_CLONE,3,Medium,Code Quality,Clone method calls overridable method - subclass could break clone,Review - call final or private methods in clone
